id,name,original_name,original_language,genres_id,networks_id
83851,The Undoing,The Undoing,en,[18],[49]
1405,Dexter,Dexter,en,"[80, 18, 9648]",[67]
7225,Merlin,Merlin,en,"[10759, 18, 10765]",[4]
87108,Chernobyl,Chernobyl,en,[18],[49]
48891,Brooklyn Nine-Nine,Brooklyn Nine-Nine,en,"[35, 80]","[6, 19]"
84503,Close Enough,Close Enough,en,"[16, 35, 18]",[3186]
63926,One-Punch Man,ワンパンマン,ja,"[10759, 16, 35]","[98, 1083]"
1620,CSI: Miami,CSI: Miami,en,"[18, 9648, 80]",[16]
1420,New Girl,New Girl,en,[35],[19]
39272,Once Upon a Time,Once Upon a Time,en,"[18, 10765]",[2]
56570,Outlander,Outlander,en,"[12, 18, 14, 10749]",[318]
98034,Digimon Adventure:,デジモンアドベンチャー：,ja,"[16, 10765, 10759, 35]",[1]
13916,Death Note,DEATH NOTE,ja,"[16, 9648]",[57]
3452,Frasier,Frasier,en,[35],[6]
94280,Steven Universe Future,Steven Universe Future,en,"[16, 10762, 10759, 35, 10765]",[56]
79501,Doom Patrol,Doom Patrol,en,"[10765, 10759]","[2243, 3186]"
61222,BoJack Horseman,BoJack Horseman,en,"[18, 35, 16]",[213]
95,Buffy the Vampire Slayer,Buffy the Vampire Slayer,en,"[35, 18, 10765, 10759]","[21, 40]"
86428,The Spanish Princess,The Spanish Princess,en,[18],[318]
61923,Star vs. the Forces of Evil,Star vs. the Forces of Evil,en,"[10759, 16, 35, 10765]","[44, 54]"
39340,2 Broke Girls,2 Broke Girls,en,[35],[16]
61387,NCIS: New Orleans,NCIS: New Orleans,en,"[10759, 18]",[16]
46786,Bates Motel,Bates Motel,en,"[9648, 18, 80]",[129]
1424,Orange Is the New Black,Orange Is the New Black,en,"[35, 18]",[213]
62560,Mr. Robot,Mr. Robot,en,"[80, 18]",[30]
2316,The Office,The Office,en,[35],[6]
1606,Ghost Whisperer,Ghost Whisperer,en,"[10765, 9648, 18]",[16]
63333,The Last Kingdom,The Last Kingdom,en,"[10759, 18]","[213, 332]"
1395,Gossip Girl,Gossip Girl,en,"[35, 18]",[71]
61056,How to Get Away with Murder,How to Get Away with Murder,en,"[80, 18, 9648]",[2]
61345,Z Nation,Z Nation,en,"[9648, 10759, 18]",[77]
68267,Trollhunters: Tales of Arcadia,Trollhunters: Tales of Arcadia,en,"[10751, 16, 10759, 35]",[213]
60059,Better Call Saul,Better Call Saul,en,"[35, 80, 18]",[174]
71912,The Witcher,The Witcher,en,"[10765, 18, 10759]",[213]
60743,Constantine,Constantine,en,"[10759, 18, 10765]",[6]
1409,Sons of Anarchy,Sons of Anarchy,en,"[80, 18]",[88]
95594,Fast & Furious Spy Racers,Fast & Furious Spy Racers,en,"[16, 10759, 10762, 10751, 10765]",[213]
97186,"Love, Victor","Love, Victor",en,"[35, 18]",[453]
104555,The Great Heist,El robo del siglo,es,"[18, 80]",[213]
74016,The Resident,The Resident,en,[18],[19]
1429,Attack on Titan,進撃の巨人,ja,"[16, 10765, 18, 10768, 9648, 10759]","[12, 94, 614, 861, 1896, 2334]"
77606,The Boss Baby: Back in Business,The Boss Baby: Back in Business,en,"[16, 10759, 35, 10762]",[213]
42009,Black Mirror,Black Mirror,en,"[10765, 18]","[26, 213]"
4194,Star Wars: The Clone Wars,Star Wars: The Clone Wars,en,"[10759, 16, 10765]","[56, 213, 2739]"
580,Star Trek: Deep Space Nine,Star Trek: Deep Space Nine,en,"[10759, 18, 10765]","[40, 184]"
61889,Marvel's Daredevil,Marvel's Daredevil,en,"[28, 80]",[213]
74204,Big Mouth,Big Mouth,en,"[16, 35]",[213]
1411,Person of Interest,Person of Interest,en,"[18, 10759, 80, 10765]",[16]
60866,iZombie,iZombie,en,"[27, 18, 80, 10765]",[71]
4629,Stargate SG-1,Stargate SG-1,en,"[10759, 10765, 9648]","[67, 77]"
1705,Fringe,Fringe,en,"[10765, 18, 9648]",[19]
33880,The Legend of Korra,The Legend of Korra,en,"[10759, 16, 18, 10751, 10765]",[13]
14658,Survivor,Survivor,en,[10764],[16]
71789,SEAL Team,SEAL Team,en,"[10759, 18, 10768]",[16]
97890,Power Book II: Ghost,Power Book II: Ghost,en,"[80, 18]",[318]
4229,Dexter's Laboratory,Dexter's Laboratory,en,"[16, 35, 10751, 10765]",[56]
60554,Star Wars Rebels,Star Wars Rebels,en,"[10759, 16]",[44]
61418,Jane the Virgin,Jane the Virgin,en,"[35, 18]",[71]
80213,The Purge,The Purge,en,"[9648, 80, 18]",[30]
2458,CSI: NY,CSI: NY,en,"[80, 18, 9648]",[16]
80743,Insatiable,Insatiable,en,"[18, 35]",[213]
87689,Warrior Nun,Warrior Nun,en,"[10759, 18, 10765]",[213]
32726,Bob's Burgers,Bob's Burgers,en,"[16, 35]",[19]
71577,The New Legends of Monkey,The New Legends of Monkey,en,"[10765, 10759, 35]","[213, 279, 1376]"
32692,Blue Bloods,Blue Bloods,en,"[80, 18]",[16]
1425,House of Cards,House of Cards,en,[18],[213]
47640,The Strain,The Strain,en,"[878, 18, 9648]",[88]
1435,The Good Wife,The Good Wife,en,[18],[16]
1920,Twin Peaks,Twin Peaks,en,"[18, 9648]","[2, 67]"
69478,The Handmaid's Tale,The Handmaid's Tale,en,"[10765, 18]",[453]
2673,The O.C.,The O.C.,en,[18],[19]
5371,iCarly,iCarly,en,"[35, 10751, 18, 10762]",[13]
